"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098813","nuclear chromosome segregation","11/15","315/18842",0.0349206349206349,43.8649735449735,21.6552064870115,3.08202728582432e-17,1.8122320440647e-13,1.8122320440647e-13,"TOP2A/NUSAP1/UBE2C/PRC1/DLGAP5/KIF4A/NEK2/CCNB1/CDC20/CENPF/CDK1",11
"GO:0000819","sister chromatid segregation","10/15","246/18842",0.040650406504065,51.0623306233062,22.308783657654,3.39866641611833e-16,9.99207926338788e-13,9.99207926338788e-13,"TOP2A/NUSAP1/UBE2C/PRC1/DLGAP5/KIF4A/CCNB1/CDC20/CENPF/CDK1",10
"GO:0007059","chromosome segregation","11/15","420/18842",0.0261904761904762,32.8987301587302,18.661076532709,7.47245912630112e-16,1.15764991088608e-12,1.15764991088608e-12,"TOP2A/NUSAP1/UBE2C/PRC1/DLGAP5/KIF4A/NEK2/CCNB1/CDC20/CENPF/CDK1",11
"GO:0000280","nuclear division","11/15","422/18842",0.0260663507109005,32.7428120063191,18.6150348067782,7.87516946181006e-16,1.15764991088608e-12,1.15764991088608e-12,"TOP2A/NUSAP1/UBE2C/PRC1/DLGAP5/KIF4A/NEK2/CCNB1/CDC20/CENPF/CDK1",11
"GO:0140014","mitotic nuclear division","10/15","281/18842",0.0355871886120996,44.7022538552788,20.8335535371651,1.3045125560389e-15,1.53410676590174e-12,1.53410676590174e-12,"NUSAP1/UBE2C/PRC1/DLGAP5/KIF4A/NEK2/CCNB1/CDC20/CENPF/CDK1",10
"GO:0048285","organelle fission","11/15","470/18842",0.0234042553191489,29.398865248227,17.5986251370109,2.58599360403886e-15,2.53427373195809e-12,2.53427373195809e-12,"TOP2A/NUSAP1/UBE2C/PRC1/DLGAP5/KIF4A/NEK2/CCNB1/CDC20/CENPF/CDK1",11
"GO:0000070","mitotic sister chromatid segregation","9/15","205/18842",0.0439024390243902,55.1473170731707,22.0025447885217,8.47254444438077e-15,7.11693733327985e-12,7.11693733327985e-12,"NUSAP1/UBE2C/PRC1/DLGAP5/KIF4A/CCNB1/CDC20/CENPF/CDK1",9
"GO:0007088","regulation of mitotic nuclear division","7/15","120/18842",0.0583333333333333,73.2744444444444,22.4184874362054,2.19642293021272e-12,1.61437085370635e-09,1.61437085370635e-09,"NUSAP1/UBE2C/DLGAP5/NEK2/CCNB1/CDC20/CENPF",7
"GO:0051783","regulation of nuclear division","7/15","135/18842",0.0518518518518519,65.1328395061728,21.1082545609594,5.08269604380788e-12,3.32069474862115e-09,3.32069474862115e-09,"NUSAP1/UBE2C/DLGAP5/NEK2/CCNB1/CDC20/CENPF",7
"GO:0044772","mitotic cell cycle phase transition","9/15","434/18842",0.0207373271889401,26.0488479262673,14.9017187034828,7.44372501106282e-12,4.37691030650494e-09,4.37691030650494e-09,"UBE2C/DLGAP5/RRM2/NEK2/CCNB1/CDC20/CENPF/MELK/CDK1",9
